ID,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Class_number_of_rings,Shell_humidity_weight
2114,M,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,11,0.328
2115,F,0.465,0.35,0.135,0.6265,0.259,0.1445,0.175,8,0.192
2116,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,0.316
2117,F,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,10,0.387
2118,I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115,9,0.119
2119,I,0.355,0.28,0.1,0.2275,0.0935,0.0455,0.085,11,0.049
2120,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,0.272
2121,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,0.117
2122,F,0.565,0.455,0.13,1.058,0.439,0.2645,0.3,10,0.319
2123,F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183,8,0.154
2124,I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7,0.11
2125,I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,7,0.089
2126,M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,8,0.332
2127,F,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10,0.411
2128,I,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9,0.175
2129,F,0.62,0.5,0.175,1.107,0.4895,0.24,0.343,11,0.274
2130,F,0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10,0.159
2131,M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,9,0.379
2132,M,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,9,0.231
2133,M,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17,0.223
2134,M,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9,0.232
2135,F,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9,0.296
2136,I,0.32,0.235,0.09,0.183,0.098,0.0335,0.042,7,0.043
2137,I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10,0.329
2138,I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5,0.03
2139,F,0.59,0.46,0.145,0.9905,0.453,0.2205,0.275,8,0.263
2140,F,0.68,0.55,0.175,1.473,0.713,0.282,0.4295,11,0.331
2141,M,0.44,0.35,0.11,0.4585,0.2,0.0885,0.13,9,0.129
2142,M,0.585,0.46,0.165,1.1135,0.5825,0.2345,0.274,10,0.257
2143,M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8,0.111
2144,I,0.62,0.47,0.155,0.966,0.447,0.171,0.284,11,0.235
2145,M,0.61,0.475,0.155,0.983,0.4565,0.228,0.266,10,0.26
2146,M,0.48,0.355,0.16,0.464,0.221,0.106,0.239,8,0.004
2147,M,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,10,0.4
2148,M,0.48,0.36,0.1,0.439,0.194,0.099,0.115,8,0.13
2149,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11,0.357
2150,I,0.445,0.31,0.09,0.336,0.1555,0.09,0.0855,7,0.095
2151,I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8,0.164
2152,M,0.58,0.46,0.16,1.063,0.513,0.2705,0.2625,9,0.287
2153,F,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29,0.627
2154,I,0.32,0.24,0.085,0.131,0.0615,0.0265,0.038,6,0.032
2155,F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.119,10,0.13
2156,M,0.735,0.585,0.185,2.124,0.952,0.55,0.5,11,0.672
2157,I,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6,0.086
2158,F,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,9,0.355
2159,M,0.775,0.63,0.25,2.7795,1.3485,0.76,0.578,12,0.853
2160,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10,0.138
2161,M,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16,0.247
2162,F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11,0.445
2163,I,0.56,0.44,0.14,0.825,0.402,0.139,0.245,10,0.178
2164,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8,0.366
2165,F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,15,0.228
2166,M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9,0.327
2167,I,0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8,0.143
2168,M,0.515,0.4,0.14,0.7365,0.2955,0.184,0.185,16,0.256
2169,M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9,0.372
2170,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14,0.32
2171,I,0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9,0.163
2172,F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6,0.146
2173,F,0.625,0.49,0.19,1.7015,0.7465,0.4105,0.3855,11,0.569
2174,I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.101,7,0.106
2175,F,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,9,0.355
2176,F,0.61,0.43,0.14,0.909,0.438,0.2,0.22,8,0.251
2177,F,0.47,0.355,0.13,0.5465,0.2005,0.126,0.185,14,0.161
2178,M,0.285,0.21,0.075,0.1185,0.055,0.0285,0.04,7,0.024
2179,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15,0.257
2180,F,0.63,0.5,0.175,1.1105,0.467,0.268,0.329,10,0.314
2181,I,0.51,0.395,0.13,0.6025,0.281,0.143,0.162,7,0.16
2182,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9,0.158
2183,M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8,0.159
2184,I,0.365,0.27,0.09,0.2155,0.1005,0.049,0.0655,6,0.049
2185,F,0.655,0.53,0.19,1.428,0.493,0.318,0.565,18,0.37
2186,I,0.56,0.425,0.14,0.9175,0.4005,0.1975,0.26,10,0.257
2187,F,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19,0.332
2188,F,0.625,0.49,0.2,1.3825,0.5895,0.285,0.381,11,0.412
2189,F,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,9,0.272
2190,I,0.44,0.325,0.1,0.4165,0.185,0.0865,0.11,6,0.121
2191,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057,8,0.045
2192,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2,0.005
2193,M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7,0.314
2194,M,0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10,0.423
2195,M,0.45,0.325,0.115,0.4305,0.2235,0.0785,0.1155,8,0.091
2196,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9,0.156
2197,F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12,0.151
2198,M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13,0.562
2199,M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11,0.142
2200,F,0.62,0.48,0.18,1.2215,0.582,0.2695,0.313,12,0.327
2201,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12,0.227
2202,M,0.61,0.45,0.15,0.871,0.407,0.1835,0.25,10,0.214
2203,F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155,8,0.236
2204,M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8,0.205
2205,F,0.57,0.44,0.14,0.9535,0.3785,0.201,0.305,17,0.27
2206,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,0.08
2207,M,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,10,0.271
2208,F,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9,0.366
2209,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264,17,0.277
2210,F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,10,0.299
2211,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20,0.504
2212,M,0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9,0.354
2213,M,0.58,0.455,0.13,0.852,0.41,0.1725,0.225,8,0.217
2214,M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20,0.302
2215,M,0.575,0.435,0.15,0.805,0.293,0.1625,0.27,17,0.242
2216,I,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,7,0.125
2217,M,0.575,0.44,0.185,1.025,0.5075,0.2245,0.2485,10,0.269
2218,M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185,10,0.18
2219,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10,0.101
2220,F,0.565,0.49,0.155,0.9245,0.405,0.2195,0.255,11,0.264
2221,I,0.45,0.355,0.115,0.4385,0.184,0.108,0.1125,11,0.142
2222,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8,0.157
2223,F,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,9,0.31
2224,F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17,0.339
2225,F,0.45,0.365,0.115,0.5885,0.318,0.121,0.1325,8,0.138
2226,I,0.4,0.31,0.1,0.2875,0.1145,0.0635,0.095,10,0.078
2227,I,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8,0.043
2228,I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9,0.202
2229,M,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9,0.109
2230,M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9,0.049
2231,M,0.63,0.505,0.155,1.105,0.492,0.226,0.325,11,0.288
2232,F,0.645,0.485,0.15,1.151,0.5935,0.2315,0.293,12,0.265
2233,F,0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9,0.148
2234,F,0.675,0.51,0.15,1.1965,0.475,0.304,0.386,11,0.335
2235,I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5,0.027
2236,M,0.63,0.485,0.165,1.233,0.6565,0.2315,0.3035,10,0.273
2237,I,0.47,0.385,0.13,0.587,0.264,0.117,0.174,8,0.149
2238,I,0.495,0.33,0.1,0.44,0.177,0.095,0.15,7,0.113
2239,M,0.295,0.23,0.085,0.125,0.042,0.0285,0.043,8,0.04
2240,M,0.415,0.31,0.09,0.3245,0.1305,0.0735,0.115,8,0.079
2241,M,0.65,0.51,0.155,1.407,0.7215,0.298,0.335,9,0.35
2242,M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19,0.526
2243,M,0.605,0.475,0.145,0.884,0.3835,0.1905,0.27,8,0.23
2244,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,0.09
2245,F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10,0.269
2246,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7,0.153
2247,F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13,0.331
2248,M,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11,0.24
2249,I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645,8,0.159
2250,F,0.66,0.53,0.18,1.5175,0.7765,0.302,0.401,10,0.34
2251,I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8,0.055
2252,I,0.425,0.325,0.11,0.3335,0.173,0.045,0.1,7,0.061
2253,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8,0.231
2254,F,0.725,0.53,0.19,1.7315,0.83,0.398,0.405,11,0.497
2255,F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13,0.16
2256,F,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17,0.522
2257,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,0.04
2258,I,0.28,0.215,0.08,0.132,0.072,0.022,0.033,5,0.027
2259,F,0.725,0.57,0.205,1.6195,0.744,0.315,0.488,11,0.387
2260,F,0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9,0.172
2261,I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7,0.078
2262,M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,0.102
2263,M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,0.161
2264,M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,0.388
2265,F,0.66,0.53,0.185,1.346,0.546,0.2705,0.476,11,0.324
2266,I,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,8,0.196
2267,F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,0.166
2268,F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12,0.588
2269,I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8,0.164
2270,I,0.35,0.265,0.095,0.199,0.073,0.049,0.06,5,0.066
2271,M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10,0.192
2272,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8,0.301
2273,F,0.64,0.51,0.2,1.3905,0.61,0.3315,0.41,12,0.371
2274,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8,0.301
2275,M,0.62,0.46,0.17,1.127,0.535,0.2635,0.296,7,0.296
2276,M,0.735,0.57,0.21,2.2355,1.1705,0.463,0.5315,10,0.533
2277,I,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12,0.068
2278,F,0.68,0.51,0.2,1.6075,0.714,0.339,0.4705,11,0.423
2279,I,0.465,0.355,0.12,0.5805,0.255,0.0915,0.184,8,0.142
2280,M,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10,0.219
2281,M,0.39,0.285,0.095,0.271,0.11,0.06,0.08,8,0.081
2282,F,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10,0.477
2283,F,0.525,0.415,0.15,0.7055,0.329,0.147,0.199,10,0.177
2284,F,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9,0.284
2285,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,0.486
2286,F,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,11,0.227
2287,M,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,17,0.328
2288,M,0.7,0.54,0.205,1.74,0.7885,0.373,0.4865,13,0.465
2289,M,0.66,0.5,0.165,1.3195,0.667,0.269,0.341,9,0.311
2290,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,0.195
2291,F,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8,0.237
2292,M,0.61,0.46,0.16,1.0,0.494,0.197,0.275,10,0.231
2293,I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9,0.202
2294,F,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,11,0.194
2295,I,0.475,0.385,0.11,0.5735,0.311,0.1025,0.136,7,0.127
2296,F,0.725,0.565,0.21,2.1425,1.03,0.487,0.503,14,0.61
2297,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,0.095
2298,I,0.4,0.3,0.115,0.318,0.1335,0.0725,0.0935,6,0.091
2299,I,0.24,0.185,0.07,0.0715,0.026,0.018,0.025,6,0.02
2300,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8,0.292
2301,I,0.445,0.335,0.11,0.411,0.1985,0.0935,0.109,8,0.103
2302,I,0.25,0.175,0.06,0.0635,0.0275,0.008,0.02,4,0.016
2303,F,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13,0.226
2304,M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775,8,0.067
2305,M,0.465,0.36,0.125,0.4365,0.169,0.1075,0.145,11,0.122
2306,M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15,0.326
2307,M,0.575,0.47,0.14,0.8375,0.3485,0.1735,0.24,11,0.249
2308,M,0.625,0.495,0.155,1.177,0.5055,0.278,0.345,9,0.327
2309,I,0.535,0.385,0.18,1.0835,0.4955,0.2295,0.304,8,0.284
2310,F,0.5,0.4,0.15,0.8085,0.273,0.112,0.295,13,0.24
2311,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7,0.089
2312,M,0.625,0.485,0.17,1.437,0.5855,0.293,0.475,11,0.377
2313,F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9,0.277
2314,I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8,0.079
2315,I,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,9,0.16
2316,F,0.575,0.46,0.15,0.927,0.333,0.207,0.2985,9,0.296
2317,I,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7,0.102
2318,M,0.64,0.52,0.2,1.407,0.566,0.304,0.455,17,0.386
2319,F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,9,0.103
2320,M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,0.403
2321,I,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9,0.187
2322,F,0.625,0.48,0.155,1.2035,0.5865,0.239,0.3185,12,0.298
2323,M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.206,8,0.204
2324,F,0.585,0.45,0.125,0.874,0.3545,0.2075,0.225,6,0.295
2325,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,0.117
2326,M,0.445,0.34,0.12,0.4475,0.193,0.1035,0.13,9,0.124
2327,I,0.49,0.39,0.12,0.511,0.2205,0.103,0.1745,9,0.116
2328,M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10,0.412
2329,F,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8,0.27
2330,F,0.605,0.495,0.17,1.2385,0.528,0.2465,0.39,14,0.32
2331,I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14,0.13
2332,M,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,13,0.19
2333,I,0.455,0.335,0.105,0.4055,0.175,0.092,0.1185,8,0.112
2334,F,0.645,0.49,0.19,1.3065,0.479,0.3565,0.345,18,0.483
2335,I,0.195,0.15,0.045,0.0375,0.018,0.006,0.011,3,0.009
2336,M,0.68,0.52,0.165,1.4775,0.724,0.279,0.406,11,0.348
2337,I,0.34,0.265,0.07,0.185,0.0625,0.0395,0.07,7,0.052
2338,I,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12,0.068
2339,I,0.325,0.24,0.07,0.152,0.0565,0.0305,0.054,8,0.042
2340,M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9,0.048
2341,I,0.44,0.345,0.12,0.365,0.1655,0.083,0.11,7,0.089
2342,F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10,0.201
2343,F,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10,0.331
2344,I,0.415,0.325,0.1,0.385,0.167,0.08,0.125,7,0.093
2345,F,0.595,0.465,0.155,1.026,0.4645,0.112,0.305,12,0.257
2346,F,0.585,0.465,0.17,0.9915,0.3865,0.224,0.265,12,0.34
2347,I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6,0.041
2348,F,0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10,0.358
2349,F,0.475,0.375,0.15,0.559,0.1955,0.1215,0.1945,12,0.169
2350,F,0.485,0.365,0.12,0.5885,0.27,0.131,0.175,9,0.144
2351,F,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8,0.225
2352,I,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7,0.059
2353,I,0.425,0.34,0.1,0.3515,0.1625,0.082,0.094,7,0.095
2354,I,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13,0.321
2355,I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6,0.148
2356,F,0.665,0.57,0.185,1.522,0.6965,0.3025,0.405,13,0.42
2357,I,0.55,0.425,0.135,0.656,0.257,0.17,0.203,10,0.196
2358,F,0.635,0.495,0.195,1.297,0.556,0.2985,0.37,11,0.371
2359,F,0.37,0.285,0.105,0.27,0.1125,0.0585,0.0835,9,0.074
2360,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,0.054
2361,F,0.565,0.445,0.125,0.8305,0.3135,0.1785,0.23,11,0.287
2362,I,0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9,0.142
2363,I,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,17,0.316
2364,F,0.57,0.47,0.14,0.871,0.385,0.211,0.2315,10,0.254
2365,I,0.45,0.345,0.135,0.443,0.1975,0.0875,0.1175,14,0.128
2366,F,0.64,0.5,0.15,1.2015,0.559,0.231,0.3355,9,0.307
2367,F,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11,0.351
2368,I,0.425,0.34,0.1,0.371,0.15,0.0865,0.115,8,0.106
2369,F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8,0.05
2370,F,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8,0.297
2371,F,0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10,0.202
2372,F,0.585,0.455,0.13,0.8755,0.411,0.2065,0.225,8,0.239
2373,M,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24,9,0.2
2374,M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,18,0.42
2375,I,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7,0.073
2376,F,0.6,0.475,0.18,1.1805,0.4345,0.2475,0.425,19,0.321
2377,I,0.51,0.405,0.135,0.769,0.3655,0.1585,0.18,7,0.224
2378,F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17,0.148
2379,I,0.475,0.375,0.115,0.5205,0.233,0.119,0.1455,7,0.142
2380,M,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,8,0.214
2381,I,0.665,0.5,0.17,1.2975,0.6035,0.291,0.3595,9,0.335
2382,I,0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11,0.163
2383,I,0.52,0.415,0.14,0.6375,0.308,0.1335,0.168,9,0.161
2384,F,0.645,0.51,0.16,1.2415,0.5815,0.276,0.315,9,0.345
2385,I,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,6,0.034
2386,F,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,8,0.112
2387,M,0.645,0.5,0.175,1.3375,0.554,0.308,0.415,10,0.368
2388,F,0.675,0.55,0.19,1.551,0.7105,0.3685,0.412,13,0.428
2389,F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,14,0.276
2390,M,0.565,0.465,0.175,0.995,0.3895,0.183,0.37,15,0.235
2391,M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11,0.142
2392,F,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,10,0.284
2393,M,0.455,0.355,0.13,0.515,0.2,0.1275,0.175,11,0.14
2394,M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7,0.314
2395,I,0.32,0.24,0.075,0.1735,0.076,0.0355,0.05,7,0.047
2396,F,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8,0.324
2397,I,0.38,0.29,0.085,0.2285,0.088,0.0465,0.075,7,0.066
2398,F,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,11,0.449
2399,F,0.62,0.52,0.225,1.1835,0.378,0.27,0.395,23,0.41
2400,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9,0.106
2401,M,0.56,0.44,0.13,0.8255,0.2425,0.202,0.285,10,0.298
2402,M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,9,0.261
2403,I,0.65,0.52,0.15,1.238,0.5495,0.296,0.3305,10,0.358
2404,I,0.405,0.25,0.09,0.2875,0.128,0.063,0.0805,7,0.079
2405,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16,0.096
2406,M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8,0.157
2407,I,0.535,0.4,0.135,0.775,0.368,0.208,0.2055,8,0.202
2408,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,0.128
2409,I,0.35,0.27,0.075,0.215,0.1,0.036,0.065,6,0.05
2410,I,0.575,0.45,0.135,0.8245,0.3375,0.2115,0.239,11,0.248
2411,I,0.405,0.305,0.1,0.268,0.1145,0.053,0.085,7,0.069
2412,F,0.475,0.35,0.115,0.487,0.194,0.1455,0.125,13,0.168
2413,I,0.555,0.46,0.145,0.9005,0.3845,0.158,0.2765,11,0.239
2414,F,0.595,0.46,0.16,0.921,0.4005,0.2025,0.2875,9,0.233
2415,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915,7,0.2
2416,F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11,0.347
2417,I,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,6,0.121
2418,F,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16,0.533
2419,F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17,0.144
2420,F,0.48,0.405,0.13,0.6375,0.277,0.1445,0.21,10,0.15
2421,I,0.525,0.41,0.175,0.874,0.3585,0.207,0.205,18,0.311
2422,I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7,0.061
2423,F,0.56,0.44,0.135,0.8025,0.35,0.1615,0.259,9,0.194
2424,I,0.255,0.18,0.055,0.083,0.031,0.0215,0.02,4,0.032
2425,F,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,12,0.265
2426,F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10,0.14
2427,I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,8,0.09
2428,I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9,0.063
2429,I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6,0.032
2430,F,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8,0.216
2431,I,0.46,0.37,0.12,0.5335,0.2645,0.108,0.1345,6,0.134
2432,M,0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10,0.245
2433,M,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10,0.242
2434,M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10,0.047
2435,F,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8,0.359
2436,F,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,11,0.2
2437,M,0.715,0.525,0.2,1.89,0.95,0.436,0.4305,10,0.509
2438,F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,0.186
2439,M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12,0.151
2440,M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,10,0.284
2441,I,0.47,0.345,0.12,0.3685,0.1525,0.0615,0.125,8,0.091
2442,F,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11,0.244
2443,I,0.565,0.435,0.155,0.782,0.2715,0.168,0.285,14,0.225
2444,M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9,0.049
2445,I,0.52,0.39,0.13,0.5545,0.2355,0.1095,0.1895,7,0.13
2446,I,0.485,0.37,0.13,0.458,0.181,0.113,0.136,10,0.141
2447,M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10,0.22
2448,M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10,0.337
2449,I,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9,0.099
2450,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,0.315
2451,M,0.54,0.455,0.14,0.972,0.419,0.255,0.269,10,0.284
2452,F,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10,0.269
2453,F,0.51,0.34,0.18,0.7005,0.312,0.165,0.2,11,0.189
2454,M,0.575,0.475,0.145,0.857,0.3665,0.173,0.269,9,0.221
